pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory
1527821,1526877426,e,udp,192.168.100.147,34614,8.8.8.8,53,2,340,CON,1526877426,8801,0.144521,0.144521,0,,,0.144521,0.144521,0.144521,,,,,1,1,81,259,6.91941,0,0,0,Normal,Normal
23111747,1528085986,e,udp,192.168.100.150,4109,192.168.100.5,80,6,360,INT,1528086006,21974,19.895004,3.979711,0.105434,,,11.939133,3.870159,4.122074,,,,,6,0,360,0,0.251319,0.251319,0,1,DoS,UDP
1575401,1526894531,e,udp,192.168.100.150,47055,8.8.8.8,53,2,340,CON,1526894531,20487,0.144704,0.144704,0,,,0.144704,0.144704,0.144704,,,,,1,1,81,259,6.910659,0,0,0,Normal,Normal
1111129,1526955078,e,udp,192.168.100.3,3628,205.251.195.142,53,2,486,CON,1526955078,3752,0.236022,0.236022,0,,,0.236022,0.236022,0.236022,,,,,1,1,94,392,4.236893,0,0,0,Normal,Normal
784982,1526901787,e,udp,192.168.100.46,80,192.168.100.5,80,20187,18880682,INT,1526902748,7,961.402222,4.959894,0.01742,,,952.299683,4.90731,4.999995,,,,,20187,0,18880682,0,20.996414,20.996414,0,0,Normal,Normal
137204,1526355480,e,udp,192.168.100.7,53912,192.168.159.152,53,2,176,INT,1526355485,12337,5.04116,0,0,,,0,0,0,,,,,2,0,176,0,0.198367,0.198367,0,0,Normal,Normal
42111739,1528096459,e,tcp,192.168.100.149,45876,192.168.100.5,80,1,154,REQ,1528096459,179866,0,0,0,,,0,0,0,,,,,1,0,154,0,0,0,0,1,DDoS,TCP
1501617,1526876841,e,udp,192.168.100.7,42416,192.168.159.152,53,2,176,INT,1526876846,35799,5.047936,0,0,,,0,0,0,,,,,2,0,176,0,0.198101,0.198101,0,0,Normal,Normal
21050464,1528085741,e,udp,192.168.100.149,10240,192.168.100.3,80,23,1380,INT,1528085763,58019,21.71756,4.706304,0.314767,,,18.825214,4.163345,4.911957,,,,,23,0,1380,0,1.013005,1.013005,0,1,DoS,UDP
55974853,1528099406,e,tcp,192.168.100.3,41307,52.64.239.193,8883,18,6894,CON,1528099421,259341,15.017046,2.010635,1.83273,,,8.042539,0.005782,4.999314,,,,,9,9,6300,594,1.132047,0.532728,0.532728,0,Normal,Normal
1665457,1526962683,e,udp,192.168.100.7,39119,192.168.159.152,53,2,176,INT,1526962689,19322,5.048051,0,0,,,0,0,0,,,,,2,0,176,0,0.198096,0.198096,0,0,Normal,Normal
52085786,1528097839,e s,tcp,192.168.100.148,1024,192.168.100.7,80,6,924,REQ,1528097865,40510,25.25827,1.393604,1.409699,,,5.574417,0,3.087602,,,,,6,0,924,0,0.197955,0.197955,0,1,DDoS,TCP
61231638,1528099802,e,udp,192.168.100.150,20085,192.168.100.3,80,8,480,INT,1528099823,10764,21.165697,2.696061,1.798534,,,10.784243,0,4.852153,,,,,8,0,480,0,0.330724,0.330724,0,1,DDoS,UDP
20767640,1528085702,e,udp,192.168.100.147,25084,192.168.100.6,80,7,420,INT,1528085737,37360,34.811539,3.404226,2.016858,,,13.616903,0,4.947623,,,,,7,0,420,0,0.172357,0.172357,0,1,DoS,UDP
1734606,1526964346,e,udp,192.168.100.149,59669,8.8.8.8,53,2,172,CON,1526964346,33761,0.007579,0.007579,0,,,0.007579,0.007579,0.007579,,,,,1,1,86,86,131.943527,0,0,0,Normal,Normal
18747614,1528085469,e,udp,192.168.100.149,38229,192.168.100.5,80,7,420,INT,1528085507,114368,38.58186,0.715783,1.60054,,,4.294699,0,4.294699,,,,,7,0,420,0,0.155513,0.155513,0,1,DoS,UDP
60856,1526349283,e,udp,192.168.100.27,5353,224.0.0.251,5353,1,183,INT,1526349283,32816,0,0,0,,,0,0,0,,,,,1,0,183,0,0,0,0,0,Normal,Normal
1483684,1526876297,e,udp,192.168.100.7,55476,192.168.159.152,53,2,176,INT,1526876302,17632,5.043469,0,0,,,0,0,0,,,,,2,0,176,0,0.198276,0.198276,0,0,Normal,Normal
1737089,1526964656,e,udp,192.168.100.3,21006,192.33.14.30,53,2,883,CON,1526964656,36312,0.009849,0.009849,0,,,0.009849,0.009849,0.009849,,,,,1,1,81,802,101.53315,0,0,0,Normal,Normal
1790633,1526981498,e,udp,192.168.100.7,39866,192.168.159.152,53,2,176,INT,1526981503,54010,5.054002,0,0,,,0,0,0,,,,,2,0,176,0,0.197863,0.197863,0,0,Normal,Normal
1739243,1526980412,e,udp,192.168.100.150,51431,144.48.166.166,123,2,180,CON,1526980412,2150,0.016383,0.016383,0,,,0.016383,0.016383,0.016383,,,,,1,1,90,90,61.038883,0,0,0,Normal,Normal
28821463,1528086662,e,udp,192.168.100.147,21442,192.168.100.3,80,15,900,INT,1528086703,5583,40.65118,3.095402,0.692983,,,21.667812,2.047828,4.157608,,,,,15,0,900,0,0.344393,0.344393,0,1,DoS,UDP
70421410,1528101343,e,udp,192.168.100.147,23768,192.168.100.7,80,4,240,INT,1528101351,196948,7.912993,2.638422,0.012635,,,5.276844,2.625787,2.651057,,,,,4,0,240,0,0.379123,0.379123,0,1,DDoS,UDP
156937,1526880815,e,udp,192.168.100.7,365,192.168.100.3,565,14866,891960,INT,1526882054,5,1239.468994,4.915081,0.24121,,,1218.939941,1.161464,4.99999,,,,,14866,0,891960,0,11.993039,11.993039,0,0,Normal,Normal
11072323,1528083233,e g,tcp,192.168.100.147,42633,192.168.100.3,80,6,548,RST,1528083260,245367,26.82859,0.146332,0.023436,,,0.292664,0.122896,0.169768,,,,,4,2,428,120,0.186368,0.111821,0.037274,1,DoS,TCP
56258582,1528099438,e,udp,192.168.100.148,61066,192.168.100.3,80,3,180,INT,1528099441,18749,3.043523,3.043523,0,,,3.043523,3.043523,3.043523,,,,,3,0,180,0,0.657133,0.657133,0,1,DDoS,UDP
9689380,1528082934,e s,tcp,192.168.100.150,760,192.168.100.6,80,3,368,RST,1528082972,173233,38.312325,0.023168,0.023168,,,0.046336,0,0.046336,,,,,2,1,308,60,0.052203,0.026101,0,1,DoS,TCP
36761832,1528095925,e s,tcp,192.168.100.150,8709,192.168.100.3,80,4,616,REQ,1528095950,70255,24.833084,1.554223,2.198004,,,4.66267,0,4.66267,,,,,4,0,616,0,0.120807,0.120807,0,1,DDoS,TCP
18930578,1528085509,e,udp,192.168.100.148,28139,192.168.100.6,80,8,480,INT,1528085533,35168,23.870825,3.416052,0.127206,,,13.664207,3.326792,3.634136,,,,,8,0,480,0,0.293245,0.293245,0,1,DoS,UDP
68913638,1528100821,e,udp,192.168.100.3,24230,216.239.36.10,53,2,201,CON,1528100821,262169,0.143638,0.143638,0,,,0.143638,0.143638,0.143638,,,,,1,1,98,103,6.961946,0,0,0,Normal,Normal
6960773,1528082386,e,udp,192.168.100.7,365,192.168.100.3,565,2669,160140,INT,1528082448,188,62.387226,4.745352,0.781541,,,61.689579,2.040799,4.995425,,,,,2669,0,160140,0,42.765163,42.765163,0,0,Normal,Normal
39322818,1528096202,e,udp,192.168.100.46,3456,192.168.100.5,80,673,648056,CON,1528096222,9647,19.97769,4.914657,0.064602,,,19.658627,4.828228,4.996905,,,,,338,335,321061,326995,33.637524,16.868818,16.718651,0,Normal,Normal
1737649,1526980016,e,tcp,192.168.100.149,14712,192.168.100.3,12081,2,120,RST,1526980016,478,7.40E-05,7.40E-05,0,,,7.40E-05,7.40E-05,7.40E-05,,,,,1,1,60,60,13513.5127,0,0,1,Reconnaissance,OS_Fingerprint
69650909,1528101152,e,udp,192.168.100.147,6089,192.168.100.6,80,7,420,INT,1528101248,212937,95.89798,0,0,,,0,0,0,,,,,7,0,420,0,0.062566,0.062566,0,1,DDoS,UDP
46614484,1528096929,e s,tcp,192.168.100.148,32864,192.168.100.5,80,5,770,REQ,1528096942,225887,13.204279,1.602805,1.616543,,,4.808414,0,3.815972,,,,,5,0,770,0,0.302932,0.302932,0,1,DDoS,TCP
98723,1526352361,e,tcp,192.168.100.3,59674,54.70.185.30,443,34,7244,FIN,1526352423,7850,61.853241,0.256501,0.222737,,,1.795507,0.154089,0.799683,,,,,18,16,2262,4982,0.533521,0.274844,0.24251,0,Normal,Normal
1608354,1526895104,e,udp,192.168.100.7,39386,192.168.159.152,53,2,176,INT,1526895109,53829,5.047919,0,0,,,0,0,0,,,,,2,0,176,0,0.198101,0.198101,0,0,Normal,Normal
38529474,1528096118,e,udp,192.168.100.7,365,192.168.100.3,565,325,19500,INT,1528096147,2781,28.832863,4.665983,0.595324,,,27.995899,3.337066,4.999888,,,,,325,0,19500,0,11.237178,11.237178,0,0,Normal,Normal
20362244,1528085642,e,udp,192.168.100.150,50300,192.168.100.5,80,8,480,INT,1528085678,156293,36.224659,2.212922,1.910023,,,11.064608,0,4.740974,,,,,8,0,480,0,0.193239,0.193239,0,1,DoS,UDP
1102348,1526951374,e,udp,192.168.100.27,58999,192.168.100.1,53,2,190,CON,1526951374,2908,0.144015,0.144015,0,,,0.144015,0.144015,0.144015,,,,,1,1,87,103,6.943721,0,0,0,Normal,Normal
1111446,1526955173,e,udp,192.168.100.3,53434,192.12.94.30,53,2,937,CON,1526955173,4086,0.166094,0.166094,0,,,0.166094,0.166094,0.166094,,,,,1,1,91,846,6.020687,0,0,0,Normal,Normal
1111443,1526955173,e,udp,192.168.100.3,38743,192.12.94.30,53,2,936,CON,1526955173,4083,0.166236,0.166236,0,,,0.166236,0.166236,0.166236,,,,,1,1,91,845,6.015544,0,0,0,Normal,Normal
1723551,1526964225,e,udp,192.168.100.150,41481,8.8.8.8,53,2,340,CON,1526964225,22599,0.306248,0.306248,0,,,0.306248,0.306248,0.306248,,,,,1,1,81,259,3.265327,0,0,0,Normal,Normal
10565002,1528083153,e *,tcp,192.168.100.55,8080,192.168.100.3,80,9384,9145156,CON,1528083212,206,58.69043,4.876589,0.376191,,,58.519073,3.629193,4.996405,,,,,4692,4692,4719904,4425252,159.872742,79.927849,79.927849,0,Normal,Normal
1128284,1526961684,e,arp,192.168.100.1,,192.168.100.4,,2,102,CON,1526961684,2850,1.80E-05,1.80E-05,0,,,1.80E-05,1.80E-05,1.80E-05,,,,,1,1,60,42,55555.55469,0,0,0,Normal,Normal
50609454,1528097710,e,tcp,192.168.100.150,36733,192.168.100.7,80,1,154,REQ,1528097710,304672,0,0,0,,,0,0,0,,,,,1,0,154,0,0,0,0,1,DDoS,TCP
16915082,1528085246,e,udp,192.168.100.148,61238,192.168.100.6,80,8,480,INT,1528085272,116977,26.204033,2.154326,1.776761,,,10.771629,0,4.043749,,,,,8,0,480,0,0.267134,0.267134,0,1,DoS,UDP
1592753,1526894700,e,udp,192.168.100.7,49823,192.168.159.152,53,2,172,INT,1526894705,37983,5.042507,0,0,,,0,0,0,,,,,2,0,172,0,0.198314,0.198314,0,0,Normal,Normal
1772617,1526981084,e,udp,192.168.100.7,42826,192.168.159.152,53,2,176,INT,1526981089,35776,5.048032,0,0,,,0,0,0,,,,,2,0,176,0,0.198097,0.198097,0,0,Normal,Normal
47763602,1528097046,e,tcp,192.168.100.148,16994,192.168.100.6,80,1,154,REQ,1528097046,326369,0,0,0,,,0,0,0,,,,,1,0,154,0,0,0,0,1,DDoS,TCP
1774833,1526981109,e,udp,192.168.100.7,53408,192.168.159.152,53,2,176,INT,1526981114,37988,5.039236,0,0,,,0,0,0,,,,,2,0,176,0,0.198443,0.198443,0,0,Normal,Normal
34853736,1528103816,e,udp,192.168.100.3,63669,202.12.27.33,53,2,1290,CON,1528103816,1199,0.163117,0.163117,0,,,0.163117,0.163117,0.163117,,,,,1,1,81,1209,6.130569,0,0,0,Normal,Normal
23876695,1528086071,e,udp,192.168.100.7,365,192.168.100.3,565,566,33960,INT,1528086086,434,14.996195,4.990442,0.00164,,,14.971325,4.988968,4.991339,,,,,566,0,33960,0,37.676224,37.676224,0,0,Normal,Normal
98101,1526352339,e,tcp,192.168.100.3,49766,52.89.239.72,443,49,11580,RST,1526352458,7642,118.601578,0.711888,1.244877,,,8.542652,0.154188,3.60295,,,,,26,23,3031,8549,0.404716,0.21079,0.185495,0,Normal,Normal
802940,1526909463,e,udp,192.168.100.147,49679,129.250.35.251,123,2,180,CON,1526909463,20,0.007173,0.007173,0,,,0.007173,0.007173,0.007173,,,,,1,1,90,90,139.411682,0,0,0,Normal,Normal
59915080,1528099706,e,udp,192.168.100.149,19654,192.168.100.3,80,12,720,INT,1528099724,5004,17.776917,3.338056,1.927289,,,13.352224,0,4.475614,,,,,12,0,720,0,0.61878,0.61878,0,1,DDoS,UDP
802930,1526908428,e,udp,192.168.100.3,29801,192.55.83.30,53,2,891,CON,1526908428,4077,0.167203,0.167203,0,,,0.167203,0.167203,0.167203,,,,,1,1,85,806,5.980754,0,0,0,Normal,Normal
68913642,1528100821,e,tcp,192.168.100.3,52588,216.58.199.42,443,27,7962,CON,1528100880,262173,59.061398,0.133632,0.085648,,,0.267264,0.047984,0.21928,,,,,13,14,2107,5855,0.44022,0.203178,0.22011,0,Normal,Normal
1592665,1526894689,e,udp,192.168.100.7,56062,192.168.159.152,53,2,176,INT,1526894694,37890,5.039738,0,0,,,0,0,0,,,,,2,0,176,0,0.198423,0.198423,0,0,Normal,Normal
5796420,1528082100,e s,tcp,192.168.100.147,64686,192.168.100.6,80,4,522,RST,1528082143,146646,42.873592,0.016936,0.023951,,,0.050807,0,0.050807,,,,,3,1,462,60,0.069973,0.046704,0,1,DoS,TCP
802936,1526909191,e,udp,fe80::c0c0:aa20:45b9:bdd9,5353,ff02::fb,5353,1,203,INT,1526909191,15,0,0,0,,,0,0,0,,,,,1,0,203,0,0,0,0,0,Normal,Normal
8178677,1528082640,e,tcp,192.168.100.149,12868,192.168.100.3,80,3,274,RST,1528082640,169450,0.108279,0.108279,0,,,0.108279,0.108279,0.108279,,,,,2,1,214,60,18.470802,9.235401,0,1,DoS,TCP
65154057,1528100195,e,udp,192.168.100.7,365,192.168.100.3,565,1542,92520,INT,1528100231,775,36.100777,4.491193,1.300717,,,35.929543,1.049881,4.996865,,,,,1542,0,92520,0,42.686062,42.686062,0,0,Normal,Normal
473444,1526890665,e,tcp,192.168.100.6,80,192.168.100.3,80,8369,2477224,CON,1526891861,8,1195.68396,4.881002,0.056659,,,1161.678589,4.81082,4.999999,,,,,8369,0,2477224,0,6.998505,6.998505,0,0,Normal,Normal
29078043,1528086691,e,udp,192.168.100.7,138,192.168.100.255,138,2,543,INT,1528086691,262163,6.00E-06,6.00E-06,0,,,6.00E-06,6.00E-06,6.00E-06,,,,,2,0,543,0,166666.6563,166666.6563,0,0,Normal,Normal
1774861,1526981115,e,udp,192.168.100.7,56045,192.168.159.152,53,2,176,INT,1526981120,38029,5.047292,0,0,,,0,0,0,,,,,2,0,176,0,0.198126,0.198126,0,0,Normal,Normal
1827912,1526982352,e,udp,192.168.100.7,49779,192.168.159.152,53,2,176,INT,1526982357,35355,5.047387,0,0,,,0,0,0,,,,,2,0,176,0,0.198122,0.198122,0,0,Normal,Normal
