pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory,0.942728216
1536850,1526877524,e,udp,192.168.100.7,50736,192.168.159.152,53,2,176,INT,1526877529,17897,5.043487,0,0,,,0,0,0,,,,,2,0,176,0,0.198276,0.198276,0,0,Normal,Normal,0.569646728
96188,1526352073,e,udp,192.168.100.3,30656,205.251.193.78,53,2,486,CON,1526352073,5651,0.307469,0.307469,0,,,0.307469,0.307469,0.307469,,,,,1,1,94,392,3.25236,0,0,0,Normal,Normal,0.00698112
1093634,1526949422,e,udp,192.168.100.149,35238,224.0.0.251,5353,1,88,INT,1526949422,274044,0,0,0,,,0,0,0,,,,,1,0,88,0,0,0,0,0,Normal,Normal,0.505102746
22565759,1528085925,e,tcp,192.168.100.6,80,192.168.100.3,80,597,176712,CON,1528085947,313,22.161911,4.402616,1.14136,,,22.013077,2.1199,4.976712,,,,,597,0,176712,0,26.892988,26.892988,0,0,Normal,Normal,0.031573236
453381,1526885356,e,tcp,192.168.100.3,46149,52.35.21.241,443,30,6589,FIN,1526885416,6719,60.64122,0.202389,0.112962,,,1.416723,0.155525,0.479087,,,,,16,14,2261,4328,0.478223,0.247357,0.214376,0,Normal,Normal,0.079944965
1656406,1526962568,e,udp,192.168.100.147,57410,8.8.8.8,53,2,340,CON,1526962568,10259,0.188405,0.188405,0,,,0.188405,0.188405,0.188405,,,,,1,1,81,259,5.307714,0,0,0,Normal,Normal,0.11765813
7166,1526344601,e,tcp,192.168.100.3,56312,52.35.35.13,443,32,6689,FIN,1526344663,6765,61.740784,0.292655,0.331883,,,2.048587,0.15452,1.105515,,,,,18,14,2361,4328,0.502099,0.275345,0.210558,0,Normal,Normal,0.883916188
800056,1526906952,e,tcp,192.168.100.6,80,192.168.100.3,80,12080,3575680,CON,1526908678,7,1725.9823,4.874511,0.049959,,,1676.831665,4.813559,4.999998,,,,,12080,0,3575680,0,6.998333,6.998333,0,0,Normal,Normal,0.098185024
1616724,1526895417,e,udp,192.168.100.149,59898,8.8.8.8,53,2,172,CON,1526895417,6390,0.007135,0.007135,0,,,0.007135,0.007135,0.007135,,,,,1,1,86,86,140.154175,0,0,0,Normal,Normal,0.36815736
2115934,1528081343,e,udp,192.168.100.3,42294,205.251.198.235,53,2,281,CON,1528081343,256076,0.255047,0.255047,0,,,0.255047,0.255047,0.255047,,,,,1,1,100,181,3.920846,0,0,0,Normal,Normal,0.920131927
23821458,1528086051,e,udp,192.168.100.148,60054,192.168.100.7,80,5,300,INT,1528086069,207361,17.780506,2.883521,2.047499,,,8.650563,0,4.554107,,,,,5,0,300,0,0.224965,0.224965,0,1,DoS,UDP,0.132322499
73370436,1528102077,e,tcp,192.168.100.46,80,192.168.100.5,80,9904,9267118,CON,1528102201,1,123.826195,4.940684,0.239694,,,123.517105,3.766563,4.998064,,,,,9904,0,9267118,0,79.974998,79.974998,0,0,Normal,Normal,0.817460933
3327748,1528081589,e,udp,192.168.100.3,38801,205.251.198.61,53,2,335,CON,1528081589,157013,0.236965,0.236965,0,,,0.236965,0.236965,0.236965,,,,,1,1,99,236,4.220033,0,0,0,Normal,Normal,0.188004098
1552495,1526877941,e,udp,192.168.100.7,38377,192.168.159.152,53,2,176,INT,1526877946,33741,5.038717,0,0,,,0,0,0,,,,,2,0,176,0,0.198463,0.198463,0,0,Normal,Normal,0.187272853
44291838,1528096714,e,tcp,192.168.100.6,80,192.168.100.3,80,751,222296,CON,1528096741,518,27.809927,4.619488,0.816353,,,27.71693,2.794067,4.985576,,,,,751,0,222296,0,26.968786,26.968786,0,0,Normal,Normal,0.570395037
1112366,1526955425,e,tcp,192.168.100.3,41202,54.230.135.121,443,18,5315,FIN,1526955430,5033,5.11938,0.046386,0.040296,,,0.092773,0.00609,0.086683,,,,,11,7,1135,4180,3.320715,1.953362,1.172017,0,Normal,Normal,0.587946689
1497051,1526876671,e,udp,192.168.100.148,40195,8.8.8.8,53,2,340,CON,1526876671,31182,0.144264,0.144264,0,,,0.144264,0.144264,0.144264,,,,,1,1,81,259,6.931736,0,0,0,Normal,Normal,0.171752825
58600508,1528099606,e,tcp,192.168.100.5,0,192.168.100.3,0,369,263443,CON,1528099616,1231,9.997222,4.988108,0.003127,,,9.976215,4.984621,4.991594,,,,,369,0,263443,0,36.810226,36.810226,0,0,Normal,Normal,0.370499818
104063,1526353397,e,udp,192.168.100.7,365,192.168.100.3,565,18775,1126500,INT,1526354967,6,1570.460205,4.927232,0.03021,,,1542.223755,4.904054,4.999998,,,,,18775,0,1126500,0,11.954457,11.954457,0,0,Normal,Normal,0.107059925
22303278,1528085884,e *,tcp,192.168.100.3,80,192.168.100.55,8080,6093,5932363,CON,1528085925,1,40.272106,4.754849,0.533372,,,38.038795,3.366199,4.997992,,,,,3046,3047,2870362,3062001,151.27095,75.610649,75.635475,0,Normal,Normal,0.170411859
28554097,1528086635,e,udp,192.168.100.46,3456,192.168.100.5,80,4293,4177899,CON,1528086662,379,26.870201,4.46764,1.180565,,,26.805843,1.827824,4.999185,,,,,2148,2145,2041255,2136644,159.73085,79.902641,79.790993,0,Normal,Normal,0.901906529
1705674,1526963814,e,udp,192.168.100.7,56044,192.168.159.152,53,2,176,INT,1526963819,4553,5.047929,0,0,,,0,0,0,,,,,2,0,176,0,0.198101,0.198101,0,0,Normal,Normal,0.97809365
1466111,1526875955,e,udp,192.168.100.3,8172,192.58.128.30,53,2,1209,CON,1526875955,22,0.015529,0.015529,0,,,0.015529,0.015529,0.015529,,,,,1,1,70,1139,64.395645,0,0,0,Normal,Normal,0.127784768
44362252,1528096715,e s,tcp,192.168.100.147,9138,192.168.100.5,80,8,1232,REQ,1528096741,70932,25.70952,2.173234,1.863875,,,10.866173,0,4.620176,,,,,8,0,1232,0,0.272273,0.272273,0,1,DDoS,TCP,0.032879767
29342771,1528086730,e,tcp,192.168.100.6,80,192.168.100.3,80,1059,313464,CON,1528086772,2563,41.769505,4.607787,1.012275,,,41.470081,1.744641,4.968314,,,,,1059,0,313464,0,25.329485,25.329485,0,0,Normal,Normal,0.600521425
1128099,1526961631,e,udp,192.168.100.3,22978,192.42.93.30,53,2,889,CON,1526961631,2655,0.164778,0.164778,0,,,0.164778,0.164778,0.164778,,,,,1,1,84,805,6.068771,0,0,0,Normal,Normal,0.432886789
772342,1526899025,e,udp,192.168.100.149,40078,224.0.0.251,5353,1,83,INT,1526899025,273031,0,0,0,,,0,0,0,,,,,1,0,83,0,0,0,0,0,Normal,Normal,0.893436836
1628436,1526895721,e,udp,fe80::250:56ff:febe:e9d9,5353,ff02::fb,5353,1,107,INT,1526895721,18206,0,0,0,,,0,0,0,,,,,1,0,107,0,0,0,0,0,Normal,Normal,0.795811974
1125929,1526960822,e &,tcp,192.168.100.3,80,192.168.100.55,8080,42762,42535741,CON,1526961841,4,1019.332092,4.94908,0.083928,,,1009.612244,3.76708,4.999998,,,,,21381,21381,21098227,21437514,41.95002,20.974518,20.974518,0,Normal,Normal,0.393515192
1533794,1526877519,e,udp,192.168.100.7,50121,192.168.159.152,53,2,176,INT,1526877524,14837,5.039216,0,0,,,0,0,0,,,,,2,0,176,0,0.198444,0.198444,0,0,Normal,Normal,0.580376024
47706,1526349103,e,udp,192.168.100.150,51525,192.168.217.2,53,2,172,INT,1526349106,19422,2.500187,0,0,,,0,0,0,,,,,2,0,172,0,0.39997,0.39997,0,0,Normal,Normal,0.159400855
26981080,1528086435,e,tcp,192.168.100.6,80,192.168.100.3,80,916,271136,CON,1528086469,339,33.924126,4.813911,0.37309,,,33.697376,3.900041,4.967962,,,,,916,0,271136,0,26.971954,26.971954,0,0,Normal,Normal,0.682757386
1111130,1526955078,e,udp,192.168.100.3,64729,205.251.195.142,53,2,474,CON,1526955078,3753,0.235951,0.235951,0,,,0.235951,0.235951,0.235951,,,,,1,1,94,380,4.238168,0,0,0,Normal,Normal,0.17361921
1125727,1526960860,e,udp,192.168.100.3,45502,202.12.27.33,53,2,1301,CON,1526960861,137,0.163274,0.163274,0,,,0.163274,0.163274,0.163274,,,,,1,1,85,1216,6.124674,0,0,0,Normal,Normal,0.6625401
1739444,1526980517,e,udp,192.168.100.147,59178,192.168.217.2,53,2,172,INT,1526980519,2375,2.500958,0,0,,,0,0,0,,,,,2,0,172,0,0.399847,0.399847,0,0,Normal,Normal,0.073110008
138169,1526355718,e,udp,192.168.100.3,44702,192.54.112.30,53,2,883,CON,1526355718,13656,0.194509,0.194509,0,,,0.194509,0.194509,0.194509,,,,,1,1,81,802,5.14115,0,0,0,Normal,Normal,0.123471408
